query1.png,Car,Palm,Bridge,Traffic Light,Car,Car,Car,Car,Car,Crosswalk
query2.png,Car,Bus,Crosswalk,Bridge,Bridge,Car,Bridge,Bridge,Crosswalk,Crosswalk
query3.png,Car,Car,Car,Bridge,Bridge,Hydrant,Car,Car,Car,Palm
query4.png,Bridge,Hydrant,Crosswalk,Crosswalk,Bus,Bus,Bus,Bus,Bridge,Bridge
query5.png,Car,Bus,Bus,Traffic Light,Bus,Traffic Light,Car,Car,Bridge,Car
query6.png,Bridge,Car,Car,Traffic Light,Car,Bridge,Bridge,Car,Bridge,Bridge
query7.png,Traffic Light,Bridge,Bridge,Traffic Light,Bridge,Palm,Car,Bridge,Traffic Light,Palm
query8.png,Bicycle,Car,Car,Bus,Bus,Bridge,Bridge,Bridge,Car,Traffic Light
query9.png,Bridge,Car,Palm,Bus,Bus,Palm,Motorcycle,Bus,Traffic Light,Bus
query10.png,Crosswalk,Car,Bicycle,Car,Car,Traffic Light,Hydrant,Bus,Crosswalk,Crosswalk
query11.png,Crosswalk,Crosswalk,Crosswalk,Car,Hydrant,Bicycle,Crosswalk,Crosswalk,Crosswalk,Crosswalk
query12.png,Bus,Car,Hydrant,Car,Car,Bridge,Bus,Car,Car,Bridge
query13.png,Palm,Car,Palm,Car,Crosswalk,Crosswalk,Hydrant,Crosswalk,Crosswalk,Bridge
query14.png,Crosswalk,Car,Hydrant,Hydrant,Crosswalk,Palm,Palm,Palm,Car,Bridge
query15.png,Hydrant,Bus,Car,Car,Chimney,Palm,Car,Crosswalk,Bicycle,Crosswalk
query16.png,Crosswalk,Car,Bicycle,Crosswalk,Car,Bicycle,Hydrant,Crosswalk,Hydrant,Bicycle
query17.png,Car,Car,Crosswalk,Car,Car,Hydrant,Bicycle,Car,Hydrant,Palm
query18.png,Bridge,Traffic Light,Car,Bridge,Crosswalk,Car,Bridge,Car,Bridge,Bridge
query19.png,Car,Car,Bicycle,Crosswalk,Bicycle,Crosswalk,Bicycle,Car,Car,Car
query20.png,Bus,Car,Car,Car,Traffic Light,Car,Bus,Bicycle,Traffic Light,Crosswalk
query21.png,Bus,Bicycle,Crosswalk,Crosswalk,Crosswalk,Crosswalk,Bridge,Crosswalk,Bridge,Crosswalk
query22.png,Traffic Light,Bus,Palm,Palm,Traffic Light,Car,Bus,Palm,Car,Bridge
query23.png,Hydrant,Hydrant,Traffic Light,Car,Bus,Hydrant,Hydrant,Crosswalk,Hydrant,Bicycle
query24.png,Bridge,Crosswalk,Bicycle,Car,Crosswalk,Car,Bicycle,Car,Car,Hydrant
query25.png,Crosswalk,Palm,Car,Crosswalk,Bus,Car,Car,Crosswalk,Crosswalk,Crosswalk
query26.png,Hydrant,Car,Bridge,Bus,Bus,Palm,Bus,Bridge,Bus,Palm
query27.png,Bridge,Car,Palm,Bicycle,Crosswalk,Bus,Bicycle,Car,Bicycle,Bicycle
query28.png,Car,Crosswalk,Bicycle,Palm,Crosswalk,Hydrant,Hydrant,Crosswalk,Crosswalk,Bridge
query29.png,Car,Bicycle,Car,Car,Traffic Light,Car,Car,Car,Crosswalk,Car
query30.png,Crosswalk,Car,Car,Traffic Light,Car,Car,Car,Car,Car,Crosswalk
query31.png,Car,Bus,Car,Bicycle,Car,Bridge,Palm,Bridge,Traffic Light,Bus
query32.png,Car,Bicycle,Car,Car,Traffic Light,Car,Car,Car,Bus,Car
query33.png,Car,Bus,Bicycle,Bus,Bicycle,Crosswalk,Bicycle,Bicycle,Car,Car
query34.png,Traffic Light,Bicycle,Hydrant,Palm,Palm,Hydrant,Car,Car,Crosswalk,Palm
query35.png,Bus,Bus,Hydrant,Bus,Palm,Hydrant,Palm,Bus,Bridge,Palm
